Date,Open,High,Low,Close,Adj Close,Volume
2018-04-24,29278.267578125,29339.392578125,28428.90234375,29226.6953125,23633.8046875,19637
2018-04-25,29226.6953125,29288.455078125,28763.173828125,29234.3359375,23639.984375,63428
2018-04-26,29218.41796875,29352.126953125,29033.7734375,29287.181640625,23682.71875,118882
2018-04-27,29288.455078125,29288.455078125,28441.63671875,29264.896484375,23664.69921875,36676
2018-04-30,29269.353515625,29606.171875,28794.37109375,29499.205078125,23854.16796875,147496
2018-05-02,29606.80859375,29606.80859375,28823.66015625,29033.7734375,23477.802734375,98525
2018-05-03,28556.244140625,29010.21484375,28498.94140625,28763.173828125,23258.984375,94792
2018-05-04,28499.578125,29218.41796875,28410.439453125,28625.0078125,23147.259765625,97680
2018-05-07,28651.75,28842.125,28645.3828125,28737.068359375,23237.875,46629
2018-05-08,28651.75,28854.859375,28174.220703125,28602.087890625,23128.728515625,196795
2018-05-09,28492.57421875,29161.115234375,28556.244140625,29112.724609375,23541.64453125,89554
2018-05-10,29112.724609375,29216.5078125,28665.7578125,29075.158203125,23511.267578125,136948
2018-05-11,29075.158203125,29287.818359375,28722.423828125,29009.578125,23458.236328125,42212
2018-05-14,29011.48828125,29285.271484375,28670.8515625,29210.77734375,23620.93359375,67406
2018-05-15,29210.77734375,29284.634765625,28842.76171875,29073.884765625,23510.23828125,81678
2018-05-16,28651.75,29078.978515625,28558.791015625,28995.5703125,23446.91015625,56146
2018-05-17,28995.5703125,29096.169921875,28594.447265625,28742.162109375,23241.99609375,62174
2018-05-18,28742.162109375,28970.103515625,28588.080078125,28634.55859375,23154.984375,130840
2018-05-22,28639.015625,28810.2890625,28588.716796875,28674.03515625,23186.90625,88708
2018-05-23,28673.3984375,28905.158203125,28180.587890625,28572.798828125,23105.0390625,114549
2018-05-24,28174.857421875,28842.76171875,28237.890625,28361.412109375,22934.10546875,43154
2018-05-25,28361.412109375,28966.919921875,28361.412109375,28494.484375,23041.71484375,85623
2018-05-28,28467.7421875,28779.091796875,28237.890625,28239.1640625,22835.25,28603
2018-05-29,28314.296875,28572.162109375,28015.044921875,28127.7421875,22745.15234375,157749
2018-05-30,28015.044921875,28204.783203125,28015.044921875,28028.416015625,22664.833984375,97453
2018-05-31,28037.328125,28575.345703125,28015.044921875,28288.828125,22875.412109375,250867
2018-06-01,28333.396484375,28588.080078125,28015.044921875,28106.73046875,22728.16015625,73204
2018-06-04,28123.28515625,28333.396484375,28016.318359375,28085.71875,22711.171875,136843
2018-06-05,28142.384765625,28263.359375,27887.703125,28033.509765625,22668.953125,139689
2018-06-06,28033.509765625,28108.640625,27383.431640625,27867.328125,22534.5703125,59496
2018-06-07,28078.71484375,28078.71484375,27429.275390625,27485.94140625,22226.166015625,65253
2018-06-08,27486.578125,28202.873046875,27436.279296875,27899.80078125,22560.830078125,52245
2018-06-11,27899.80078125,28267.81640625,27632.384765625,27783.283203125,22466.609375,83839
2018-06-12,27783.919921875,28046.87890625,27783.919921875,27913.171875,22571.638671875,304308
2018-06-13,27913.171875,28638.37890625,27785.830078125,28078.078125,22704.990234375,81660
2018-06-14,28189.501953125,28396.431640625,27824.669921875,27938.640625,22592.236328125,168481
2018-06-15,27824.033203125,28613.546875,27381.521484375,28090.8125,22715.291015625,491844
