,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,CCI_14,WILLR_14,TSI_13_25_13,CMO,COPP,ATR_14,RSI_14,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
1919,2022-09-09,21805.712890625,21805.712890625,21325.48828125,21805.712890625,19714.189453125,15360,1,15.955597782005638,-54.74656888163849,22.133571506204625,14.166989073139929,17.694567566771834,733.2096022309448,57.083494536569965,-0.2259348531325276,0.3377160206437111,-0.8260953351855278
1920,2022-09-12,21926.771484375,22206.568359375,21565.201171875,21926.771484375,19823.634765625,2292,1,33.08979372366382,-52.7373985320448,21.13691326387332,16.212112928623302,17.289139174457503,726.649429750163,58.10605646431165,-0.1011751126497984,0.3549751490354538,-0.8552963379770517
1921,2022-09-13,22199.353515625,22199.353515625,21646.173828125,22199.353515625,20070.072265625,7202,1,36.05925746689301,-46.61343946655472,21.1234481429906,20.78866972359072,16.572384358779207,714.2587338751514,60.394334861795365,-0.2082234063806633,0.2151452675461769,-0.5747192073613405
1922,2022-09-14,22047.02734375,22199.353515625,21635.751953125,22047.02734375,19932.35546875,147799,-1,17.49442372512109,-54.23682858610651,20.488941763558618,16.944526970377,15.179815045962451,703.4975073483548,58.4722634851885,-0.2942391243763268,0.3839036226272583,-0.9296121918596328
1923,2022-09-15,21412.07421875,21820.9453125,21408.064453125,21412.07421875,19358.3046875,57484,-1,-66.04929796204692,-84.43188265256391,17.462460151098718,2.325778711861742,12.866944821306795,698.8878918681152,51.16288935593087,-0.3223236590468635,0.461832020431757,-0.8911500433459878
1924,2022-09-20,20844.462890625,21840.1875,20442.806640625,20844.462890625,18845.138671875,34685,-1,-143.90638602506667,-88.86915103786095,13.00172276443744,-8.665748345784513,8.871569659788063,748.7802466900355,45.66712582710775,-0.1477401705148319,0.3191876336932182,-0.9101266339421272
1925,2022-09-21,21157.130859375,21807.31640625,20611.966796875,21157.130859375,19127.81640625,22725,1,-102.01709881482762,-80.2043787718871,10.476164752441743,-2.156145479862749,4.981664519624245,780.67805831039,48.92192726006862,-0.1511345193298025,0.3468382023274898,-0.8379728710278869
1926,2022-09-22,21164.345703125,21485.029296875,20844.462890625,21164.345703125,19134.337890625,5518,0,-98.53133058937216,-80.00443831019459,8.53600386740793,-2.0042976777412647,1.7465614852906248,770.6700831632194,48.99785116112937,-0.0413656141608953,0.2384268939495086,-0.3558230958878994
1927,2022-09-23,20772.30859375,21164.345703125,20684.12109375,20772.30859375,18779.90234375,9669,-1,-125.25272874653906,-90.86871803198832,5.659051800745493,-9.846059672858754,-1.3616401408151269,749.9239778926323,45.07697016357062,-0.2071214409079402,0.4070316106081009,-0.7308092098683119
1928,2022-09-26,20563.865234375,21165.146484375,20312.9296875,20563.865234375,18591.453125,53627,-1,-128.08794529712102,-93.2875733981454,2.686069172374511,-13.79590503075547,-4.586351561009344,757.2306078199442,43.10204748462226,-0.1953901218782578,0.3243212252855301,-0.6705077290534973
1929,2022-09-27,20421.16015625,20826.0234375,20302.5078125,20421.16015625,18462.435546875,10576,-1,-131.61953131974286,-95.97390960880318,-0.1585538348874152,-16.49334936885838,-7.597114026723931,740.5366804756625,41.75332531557081,-0.2872577315980666,0.2646324783563614,-0.9350615134462714
